tsne_x,tsne_y,robo_group,title,paragraphs,sponsor,url,key_words,robo_group_names
4.325653853991341,-1.0123421261923295,18,SJRes38 A joint resolution granting the consent of Congress to the Vermont New Hampshire Interstate Public Water Supply Compact 104th Congress 1995 1996,3.6635616461296463,"Sen. Leahy, Patrick J. [D-VT]",https://www.congress.gov/bill/104th-congress/senate-joint-resolution/38/text,vermont | water | supply | compact | water supply,Infrastructure
0.9249184189988502,1.0294871608859026,31,HR2854 Federal Agriculture Improvement and Reform Act of 1996 104th Congress 1995 1996,7.698936199813447,"Rep. Roberts, Pat [R-KS-1]",https://www.congress.gov/bill/104th-congress/house-bill/2854/text,board | subtitle | shall | agricultural | secretary,Pub and Env Safety
-2.7845981770554586,0.8270266570591294,26,HR2969 Federal Tea Tasters Repeal Act of 1996 104th Congress 1995 1996,2.772588722239781,"Rep. Klug, Scott L. [R-WI-2]",https://www.congress.gov/bill/104th-congress/house-bill/2969/text,comm ways | repealed effective | cited federal | importation | repeal,Bureaucracy
7.037214769879676,1.6028590231640005,6,HJRes168 Waiving certain enrollment requirements with respect to two bills of the One Hundred Fourth Congress 104th Congress 1995 1996,2.302585092994046,"Rep. Ney, Robert W. [R-OH-18]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/168/text,waiving | bills | fourth | enrollment | presidential,Government Spending
0.6705470754612679,-3.9167877763540297,30,S244 Paperwork Reduction Act of 1995 104th Congress 1995 1996,4.897839799950911,"Sen. Nunn, Sam [D-GA]",https://www.congress.gov/bill/104th-congress/senate-bill/244/text,director | collection | agency | collection information | information,National Security
1.7850669517913524,3.8614392641520596,28,S4 Line Item Veto Act 104th Congress 1995 1996,4.394449154672439,"Sen. Dole, Robert J. [R-KS]",https://www.congress.gov/bill/104th-congress/senate-bill/4/text,cancellation | budget authority | budget | message | disapproval,Taxes
7.2730003292547805,1.8201000911267853,6,HJRes175 Deposit Insurance Funds Act of 1996 104th Congress 1995 1996,2.302585092994046,"Rep. Livingston, Bob [R-LA-1]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/175/text,thereof | presidential | law lieu | lieu | lieu thereof,Government Spending
-2.9392618068402294,-1.4088974244528734,19,S735 Antiterrorism and Effective Death Penalty Act of 1996 104th Congress 1995 1996,6.677083461247136,"Sen. Dole, Robert J. [R-KS]",https://www.congress.gov/bill/104th-congress/senate-bill/735/text,victim | shall | restitution | court | alien,Human Rights
7.019417501116398,-0.6136047539324813,23,HR3034 To amend the Indian Self Determination and Education Assistance Act to extend for two months the authority for promulgating regulations under the Act 104th Congress 1995 1996,2.4849066497880004,"Rep. Miller, George [D-CA-7]",https://www.congress.gov/bill/104th-congress/house-bill/3034/text,months | self determination | indian self | determination education | education assistance,Native Americans
4.116459736870593,4.884378037388162,4,HR3019 Omnibus Consolidated Rescissions and Appropriations Act of 1996 104th Congress 1995 1996,7.983440063006542,"Rep. Livingston, Bob [R-LA-1]",https://www.congress.gov/bill/104th-congress/house-bill/3019/text,expenses | funds | available | provided | shall,Government Spending
-5.089346504407856,-6.194076030117832,13,HR255 To designate the Federal Justice Building in Miami Florida as the James Lawrence King Federal Justice Building 104th Congress 1995 1996,2.6390573296152584,"Rep. Hastings, Alcee L. [D-FL-23]",https://www.congress.gov/bill/104th-congress/house-bill/255/text,james | building | lawrence | king | justice,Government Buildings
0.07719208300707579,-7.871101049824536,2,HR869 To designate the Federal building and US Courthouse located at 125 Market Street in Youngstown Ohio as the Thomas D Lambros Federal Building and US Courthouse 104th Congress 1995 1996,2.6390573296152584,"Rep. Traficant, James A., Jr. [D-OH-17]",https://www.congress.gov/bill/104th-congress/house-bill/869/text,building | courthouse | federal building | states courthouse | thomas,Government Buildings
-0.020923593838032897,-7.855337853204613,13,HR1804 To designate the United States Post Office Courthouse located at South 6th and Rogers Avenue Fort Smith Arkansas as the Judge Isaac C Parker Federal Building 104th Congress 1995 1996,2.5649493574615367,"Rep. Hutchinson, Tim [R-AR-3]",https://www.congress.gov/bill/104th-congress/house-bill/1804/text,courthouse located | courthouse | judge | federal building | states post,Government Buildings
-5.084510094154091,-6.181567521240568,13,HR2415 To designate the United States Customs Administrative Building at the YsletaZaragosa Port of Entry located at 797 South Ysleta in El Paso Texas as the Timothy C McCaghren Customs Administrative Building 104th Congress 1995 1996,2.6390573296152584,"Rep. Coleman, Ronald D. [D-TX-16]",https://www.congress.gov/bill/104th-congress/house-bill/2415/text,located south | states customs | customs | administrative | building,Government Buildings
-5.092878668280428,-6.198292307352796,13,HR2556 To redesignate the Federal building located at 345 Middlefield Road in Menlo Park California and known as the Earth Sciences and Library Building as the Vincent E McKelvey Federal Building 104th Congress 1995 1996,2.6390573296152584,"Rep. Eshoo, Anna G. [D-CA-14]",https://www.congress.gov/bill/104th-congress/house-bill/2556/text,building located | earth | building | federal building | federal,Government Buildings
1.1099124235528832,-5.2760271076783765,30,HR1421 To provide that references in the statutes of the United States to any committee or officer of the House of Representatives the name or jurisdiction of which was changed as part of the reorganization of the House of Representatives at the beginning of the One Hundred Fourth Congress shall be treated as referring to the currently applicable committee or officer of the House of Representatives 104th Congress 1995 1996,3.044522437723423,"Rep. Thomas, William M. [R-CA-21]",https://www.congress.gov/bill/104th-congress/house-bill/1421/text,treated | shall treated | referring | committee | representatives shall,National Security
7.235645165518189,1.85759152709286,6,SJRes53 A joint resolution making corrections to Public Law 104 134 104th Congress 1995 1996,2.4849066497880004,"Sen. Hatfield, Mark O. [R-OR]",https://www.congress.gov/bill/104th-congress/senate-joint-resolution/53/text,related agencies | law repealed | act contained | contained public | agencies appropriations,Government Spending
-1.0029875351922894,7.2121967192287775,22,HR3055 To amend section 326 of the Higher Education Act of 1965 to permit continued participation by Historically Black Graduate Professional Schools in the grant program authorized by that section 104th Congress 1995 1996,2.6390573296152584,"Rep. Norwood, Charles W. [R-GA-10]",https://www.congress.gov/bill/104th-congress/house-bill/3055/text,graduate | nation | schools | african | african american,Education
-0.10260985988553095,-5.169590841496169,30,HR2024 Mercury Containing and Rechargeable Battery Management Act 104th Congress 1995 1996,4.30406509320417,"Rep. Klug, Scott L. [R-WI-2]",https://www.congress.gov/bill/104th-congress/house-bill/2024/text,recycling | product | regulated | consumer | administrator,National Security
4.7987960966894265,-3.3233026271020454,27,HR2243 Trinity River Basin Fish and Wildlife Management Reauthorization Act of 1995 104th Congress 1995 1996,3.6888794541139363,"Rep. Riggs, Frank [R-CA-1]",https://www.congress.gov/bill/104th-congress/house-bill/2243/text,fish wildlife | basin | river basin | river | fish,Federal Land and Wildlife
-3.8428178471417045,-2.3436209389563074,10,HR2064 To grant the consent of Congress to an amendment of the Historic Chattahoochee Compact between the States of Alabama and Georgia 104th Congress 1995 1996,3.1780538303479458,"Rep. Everett, Terry [R-AL-2]",https://www.congress.gov/bill/104th-congress/house-bill/2064/text,georgia | county | members | county shall | shall,Bureaucracy
-2.9751162566238296,-1.2869941835657317,19,HR2137 Megans Law 104th Congress 1995 1996,2.6390573296152584,"Rep. Zimmer, Dick [R-NJ-12]",https://www.congress.gov/bill/104th-congress/house-bill/2137/text,enforcement | law enforcement | violent | information | release,Human Rights
-1.0708480027914418,-3.0654493721208413,12,S641 Ryan White CARE Act Amendments of 1996 104th Congress 1995 1996,4.983606621708336,"Sen. Kassebaum, Nancy Landon [R-KS]",https://www.congress.gov/bill/104th-congress/senate-bill/641/text,secretary | state | grant | disease | hiv,Health Care
4.273946640695517,-1.13646716700525,18,HR1743 To amend the Water Resources Research Act of 1984 to extend the authorizations of appropriations through fiscal year 2000 and for other purposes 104th Congress 1995 1996,3.2188758248682006,"Rep. Doolittle, John T. [R-CA-4]",https://www.congress.gov/bill/104th-congress/house-bill/1743/text,research | resources | research act | water | water resources,Infrastructure
4.889722245057702,-3.491128130824354,27,HR1836 To authorize the Secretary of the Interior to acquire property in the town of East Hampton Suffolk County New York for inclusion in the Amagansett National Wildlife Refuge 104th Congress 1995 1996,2.70805020110221,"Rep. Forbes, Michael P. [R-NY-1]",https://www.congress.gov/bill/104th-congress/house-bill/1836/text,barrier | wildlife | refuge | national wildlife | wildlife refuge,Federal Land and Wildlife
0.41878066933599556,0.34117470849268383,1,HR2066 Healthy Meals for Children Act 104th Congress 1995 1996,2.6390573296152584,"Rep. Goodling, William F. [R-PA-19]",https://www.congress.gov/bill/104th-congress/house-bill/2066/text,national school | lunch act | school | lunch | school lunch,Pub and Env Safety
-2.8859284814386696,1.096974601481677,26,S349 A bill to reauthorize appropriations for the Navajo Hopi Relocation Housing Program 104th Congress 1995 1996,2.3978952727983707,"Sen. McCain, John [R-AZ]",https://www.congress.gov/bill/104th-congress/senate-bill/349/text,law follows | comm indian | program enacted | housing | relocation,Bureaucracy
-0.302637594219262,-1.814075330221875,24,HR1965 Coastal Zone Protection Act of 1996 104th Congress 1995 1996,3.713572066704308,"Rep. Saxton, Jim [R-NJ-3]",https://www.congress.gov/bill/104th-congress/house-bill/1965/text,fiscal | management | zone | coastal | management act,Government Spending
5.633881779417926,-5.349012595948583,2,HR3029 To designate the United States courthouse in Washington District of Columbia as the E Barrett Prettyman United States Courthouse 104th Congress 1995 1996,2.6390573296152584,"Rep. Davis, Tom [R-VA-11]",https://www.congress.gov/bill/104th-congress/house-bill/3029/text,district columbia | washington | washington district | states courthouse | courthouse,Government Buildings
-2.9696087430605607,-1.42158589141618,19,HR2803 Anti Car Theft Improvements Act of 1996 104th Congress 1995 1996,3.1780538303479458,"Rep. McCollum, Bill [R-FL-8]",https://www.congress.gov/bill/104th-congress/house-bill/2803/text,theft | attorney | attorney general | activity | information,Human Rights
